Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
66	31	0	1.04700389	101324.972	101324.995	101324.972	101325	0.0276591038	0.154198713	0	100	0	0	3
67	31	0	1.06286759	101324.974	101324.994	101324.972	101325	0.0276591038	0.154204796	0	100	0	0	3
68	32	0	1.07873128	101324.976	101324.994	101324.972	101325	0.0276591038	0.154108762	0	100	0	0	3
69	32	0	1.09459498	101324.978	101324.993	101324.972	101325	0.0276591038	0.154108762	0	100	0	0	3
70	33	0	1.11045867	101324.98	101324.992	101324.972	101325	0.0276591038	0.154108762	0	100	0	0	3
71	33	0	1.12632237	101324.983	101324.992	101324.972	101325	0.0276591038	0.154108762	0	100	0	0	3
72	34	0	1.14218606	101324.984	101324.991	101324.972	101325	0.0276591038	0.154108762	0	100	0	0	3
73	34	0	1.15804976	101324.986	101324.991	101324.972	101325	0.0276591038	0.154108762	0	100	0	0	3
74	35	0	1.17391345	101324.987	101324.991	101324.972	101325	0.0276591038	0.154108762	0	100	0	0	3
75	36	0	1.18977715	101324.988	101324.99	101324.972	101325	0.0276591038	0.154108762	0	100	0	0	3
76	36	0	1.20564084	101324.988	101324.99	101324.972	101325	0.0276591038	0.154108762	0	100	0	0	3
77	37	0	1.22150454	101324.987	101324.989	101324.972	101325	0.0276591038	0.154108762	0	100	0	0	3
78	37	0	1.23736823	101324.986	101324.989	101324.972	101325	0.0276591038	0.154108762	0	100	0	0	3
79	38	0	1.25323193	101324.985	101324.989	101324.972	101325	0.0276591038	0.154108762	0	100	0	0	3
80	38	0	1.26909562	101324.983	101324.988	101324.972	101325	0.0256273014	0.154108762	0	100	0	0	3
81	39	0	1.28495932	101324.981	101324.987	101324.972	101325	0.0224244597	0.154108762	0	100	0	0	3
82	39	0	1.30082302	101324.978	101324.987	101324.972	101325	0.0197627977	0.154108762	0	100	0	0	3
83	40	0	1.31668671	101324.974	101324.986	101324.972	101325	0.0184099722	0.154108762	0	100	0	0	3
84	40	0	1.33255041	101324.972	101324.985	101324.972	101325	0.0173781314	0.154108762	0	100	0	0	3
85	41	0	1.3484141	101324.967	101324.984	101324.967	101325	0.0173300797	0.154108762	0	100	0	0	3
86	41	0	1.3642778	101324.962	101324.983	101324.962	101324.999	0.0175763325	0.154108762	0	100	0	0	3
87	42	0	1.38014149	101324.96	101324.982	101324.96	101324.999	0.0184706055	0.154108762	0	100	0	0	3
88	42	0	1.39600519	101324.954	101324.98	101324.954	101324.998	0.0195157526	0.154108762	0	100	0	0	3
89	43	0	1.41186888	101324.952	101324.979	101324.952	101324.996	0.0207964192	0.154108762	0	100	0	0	3
