Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
55	26	0	0.872503242	-218.575228	-59.3029068	-218.575228	-0.0169475651	60.5676958	0	0	0	0	0	3
56	26	0	0.888366937	-225.942478	-66.3630796	-225.942478	-0.0371863927	67.5757896	0	0	0	0	0	3
57	27	0	0.904230632	-226.776647	-73.4486877	-226.776647	-0.08861713	74.6113467	0	0	0	0	0	3
58	27	0	0.920094328	-221.241194	-80.3597058	-226.776647	-0.157205145	81.4734809	0	0	0	0	0	3
59	27	0	0.935958023	-216.834303	-87.1308651	-226.776647	-0.235713283	88.1964442	0	0	0	0	0	3
60	28	0	0.951821718	-216.764348	-93.8973849	-226.776647	-0.323040013	94.9150806	0	0	0	0	0	3
61	28	0	0.967685414	-219.373889	-100.742724	-226.776647	-0.498447237	101.709881	0	0	0	0	0	3
62	29	0	0.983549109	-237.239616	-108.140885	-237.239616	-0.773740114	109.051885	0	0	0	0	0	3
63	29	0	0.999412804	-255.050088	-116.087021	-255.050088	-1.07256312	116.936035	0	0	0	0	0	3
64	30	0	1.0152765	-286.279186	-124.999728	-286.279186	-1.53693085	125.800712	8.74173735	0	6.9	0	0	3
65	30	0	1.03114019	-325.334386	-135.118399	-325.334386	-2.16997041	135.577887	9.91339333	0	7.3	0	0	3
66	31	0	1.04700389	-362.203514	-146.369447	-362.203514	-3.01560462	146.656329	10.4664303	0	7.1	0	0	3
67	31	0	1.06286759	-416.795324	-159.300063	-416.795324	-4.27425739	159.293623	11.196694	0	7	0	0	3
68	32	0	1.07873128	-456.005516	-173.416665	-456.005516	-6.57991819	173.111968	11.8415637	0	6.8	0	0	3
69	32	0	1.09459498	-506.757816	-189.047224	-506.757816	-9.43210724	188.347766	12.5329993	0	6.6	0	0	3
70	33	0	1.11045867	-541.202627	-205.665053	-541.202627	-13.7733785	204.473613	13.1600295	0	6.4	0	0	3
71	33	0	1.12632237	-580.703843	-223.38163	-580.703843	-17.9229565	221.584297	13.7750372	0	6.2	0	0	3
72	34	0	1.14218606	-606.597918	-241.777723	-606.597918	-27.230412	239.092399	14.3323446	0	5.9	0	0	3
73	34	0	1.15804976	-632.423826	-260.690017	-632.423826	-36.3476911	256.850396	14.8500774	0	5.7	0	0	3
74	35	0	1.17391345	-645.595517	-279.729011	-645.595517	-47.692166	274.378984	15.3037787	0	5.5	0	0	3
75	36	0	1.18977715	-658.651163	-298.82148	-658.651163	-59.2482741	291.60966	15.7098309	0	5.3	0	0	3
76	36	0	1.20564084	-659.963335	-317.593826	-659.963335	-73.6070613	308.070516	16.0514882	0	5.2	0	0	3
77	37	0	1.22150454	-657.189856	-335.830788	-659.963335	-88.3750322	323.537111	16.3403892	0	5	0	0	3
78	37	0	1.23736823	-649.563516	-353.367928	-659.963335	-105.270873	337.777037	16.5879399	0	4.9	0	0	3
79	38	0	1.25323193	-628.64878	-369.723488	-659.963335	-121.198763	350.339274	16.802379	0	4.7	0	0	3
80	38	0	1.26909562	-610.590632	-385.016984	-659.963335	-137.98991	361.315184	16.9899857	0	4.7	0	0	3
81	39	0	1.28495932	-580.414023	-398.842737	-659.963335	-153.879604	370.328403	17.1554304	0	4.6	0	0	3
82	39	0	1.30082302	-558.006115	-411.471691	-659.963335	-170.252498	377.633629	17.3024678	0	4.5	0	0	3
83	40	0	1.31668671	-527.734609	-422.643007	-659.963335	-185.239112	383.014077	17.4339674	0	4.5	0	0	3
84	40	0	1.33255041	-519.745659	-433.096336	-659.963335	-199.708637	387.224602	17.5523056	0	4.5	0	0	3
85	41	0	1.3484141	-502.582287	-442.561138	-659.963335	-211.169172	390.089345	17.659333	0	4.5	0	0	3
86	41	0	1.3642778	-493.531375	-451.384957	-659.963335	-216.764348	392.08205	17.7566139	0	4.5	0	0	3
87	42	0	1.38014149	-500.866085	-460.206546	-659.963335	-216.764348	393.843466	17.8453869	0	4.5	0	0	3
88	42	0	1.39600519	-496.783752	-468.670336	-659.963335	-216.764348	395.221648	17.9267368	0	4.5	0	0	3
89	43	0	1.41186888	-518.048342	-477.772576	-659.963335	-216.764348	397.41287	18.001517	0	4.5	0	0	3
90	44	0	1.42773258	-531.786056	-487.477103	-659.963335	-216.764348	400.346238	18.0704657	0	4.5	0	0	3
91	44	0	1.44359627	-561.103593	-498.235518	-659.963335	-216.764348	404.338134	18.1342199	0	4.4	0	0	3
92	45	0	1.45945997	-581.228187	-509.625013	-659.963335	-219.373889	408.88229	18.1933266	0	4.4	0	0	3
93	45	0	1.47532366	-624.183044	-522.2753	-659.963335	-237.239616	414.134414	18.2481756	0	4.4	0	0	3
94	46	0	1.49118736	-648.480727	-535.126584	-659.963335	-255.050088	404.913247	18.2990927	0	4.5	0	0	3
95	46	0	1.50705105	-688.511053	-548.672239	-688.511053	-286.279186	402.231867	18.3740624	0	4.5	0	0	3
96	47	0	1.52291475	-711.015152	-561.945238	-711.015152	-325.334386	385.680766	18.4650088	0	4.7	0	0	3
97	47	0	1.53877844	-745.701158	-575.0817	-745.701158	-362.203514	383.497644	18.5814005	0	4.8	0	0	3
98	48	0	1.55464214	-763.407933	-587.619338	-763.407933	-416.795324	346.612609	18.7058231	0	5.3	0	0	3
99	48	0	1.57050584	-784.974559	-599.124939	-784.974559	-456.005516	328.969044	18.8405427	0	5.7	0	0	3
100	49	0	1.58636953	-792.113824	-609.628324	-792.113824	-493.531375	298.582448	18.9718059	0	6.3	0	0	3
101	50	0	1.60223323	-795.68222	-618.657211	-795.68222	-493.531375	302.150844	19.0965545	0	6.3	0	0	3
102	50	0	1.61809692	-787.946378	-626.367954	-795.68222	-493.531375	302.150844	19.21131	0	6.3	0	0	3
103	51	0	1.63396062	-778.613944	-632.552644	-795.68222	-493.531375	302.150844	19.3169887	0	6.3	0	0	3
104	51	0	1.64982431	-761.710672	-637.399918	-795.68222	-493.531375	302.150844	19.4104028	0	6.4	0	0	3
105	52	0	1.66568801	-746.729438	-640.971968	-795.68222	-493.531375	302.150844	19.492589	0	6.4	0	0	3
106	52	0	1.6815517	-727.049872	-643.517417	-795.68222	-493.531375	302.150844	19.5627584	0	6.4	0	0	3
107	53	0	1.6974154	-712.350199	-645.195512	-795.68222	-493.531375	302.150844	19.6216016	0	6.4	0	0	3
108	53	0	1.71327909	-695.905564	-646.318706	-795.68222	-493.531375	302.150844	19.6679801	0	6.5	0	0	3
109	53	0	1.72914279	-696.266156	-647.539841	-795.68222	-493.531375	294.171913	19.702452	0	6.6	0	0	3
110	54	0	1.74500648	-693.043774	-648.898599	-795.68222	-493.531375	279.175111	19.7244061	0	7	0	0	3
111	54	0	1.76087018	-698.608273	-651.084833	-795.68222	-493.531375	266.067849	19.7352592	0	7.4	0	0	3
112	55	0	1.77673387	-702.241396	-653.948919	-795.68222	-493.531375	255.106182	19.7351657	0	7.7	0	0	3
113	55	0	1.79259757	-728.393556	-658.57328	-795.68222	-493.531375	247.101589	19.7253476	0	7.9	0	0	3
114	56	0	1.80846126	-747.793017	-664.50412	-795.68222	-493.531375	241.861114	19.7060985	0	8.1	0	0	3
115	56	0	1.82432496	-769.986934	-672.074506	-795.68222	-493.531375	238.978169	19.6787886	0	8.2	0	0	3
116	57	0	1.84018866	-802.071195	-680.897179	-802.071195	-493.531375	238.336041	19.6478672	0	8.2	0	0	3
117	57	0	1.85605235	-825.523915	-690.989104	-825.523915	-493.531375	239.604148	19.6249007	0	8.1	0	0	3
118	58	0	1.87191605	-855.429923	-702.298434	-855.429923	-496.783752	242.091888	19.6162908	0	8.1	0	0	3
119	58	0	1.88777974	-876.14986	-714.026052	-876.14986	-496.783752	245.355716	19.6192958	0	7.9	0	0	3
